source,target,weight
02tnwd4m,w2lit5yv,0.23091076481973088
02tnwd4m,87cccwap,0.22140857332011518
02tnwd4m,z5z7db0b,0.20097337060976816
02tnwd4m,0bjl60gl,0.19251398687238186
02tnwd4m,y6xuxj16,0.19165720286072246
8qnrcgnk,ywu07bjk,0.6192182616776037
8qnrcgnk,esiio1g4,0.511481316173773
8qnrcgnk,0jlg2gkc,0.26209337855020615
8qnrcgnk,wz4hziue,0.24979054559663696
8qnrcgnk,4y1tw6qv,0.1711873127816757
jg13scgo,jsg6n38x,0.3345603667012533
jg13scgo,cos5wsuh,0.3015517589989981
jg13scgo,6k13ragg,0.21487904364846536
jg13scgo,r2i1fogq,0.21147094886155887
jg13scgo,78tx8yzy,0.19890679573375925
t35n7bk9,8mrc4yvt,0.2553799691492891
t35n7bk9,dj9rs6me,0.25044261556617664
t35n7bk9,xu2ye8m1,0.24835666183989996
t35n7bk9,bugmlvyh,0.23722002743559711
t35n7bk9,9g0128lf,0.2341753742713625
wnnsmx60,yj5ca2f9,0.20992050423832287
wnnsmx60,vrfnfhun,0.1799669054466428
wnnsmx60,0krimuds,0.16173105207040558
wnnsmx60,4fesk470,0.16075553646546997
wnnsmx60,mbza48b6,0.1588125066299835
bbvxu8op,93k9mxn5,0.38828689208168293
bbvxu8op,n9cr4zh1,0.3486201564122059
bbvxu8op,ckqghr3b,0.32861630819679505
bbvxu8op,yzmt1e0l,0.23946741610009947
bbvxu8op,dcp12rh2,0.22419237108812318
5dk231qs,rpt069tc,0.4159901250604491
5dk231qs,ai8n1oeq,0.3244753997910657
5dk231qs,ayydekzc,0.299765387912899
5dk231qs,03g8ly6x,0.293361966559901
5dk231qs,tl9cicq2,0.2846624219292626
cl9gpt9w,2su7oqbz,0.4524138690187008
cl9gpt9w,salby0fu,0.24705750800119164
cl9gpt9w,pvt0amth,0.23555156042337647
cl9gpt9w,7cwp2xbw,0.22021888256936978
cl9gpt9w,afrx0php,0.21304045756454518
1r65yam5,6bq0tps2,0.49671493113428167
1r65yam5,tbxar0tu,0.2841330910511171
1r65yam5,chq0vvrr,0.25445334967295136
1r65yam5,g2pb02vx,0.253550481783725
1r65yam5,kjvvoveq,0.22027408307668037
m71xkuo9,49rpfins,0.37771377288800156
m71xkuo9,gy31qzyt,0.3364584811669163
m71xkuo9,wmmbkmrg,0.32575150617845383
m71xkuo9,1wg6wexh,0.32372809310190626
m71xkuo9,fmgkv74a,0.31853678071882363
58czem0j,2pd801t1,0.4951921726543758
58czem0j,4jrllgh3,0.3853597528673995
58czem0j,uvjriyx1,0.3543758008018582
58czem0j,5wdwn2zs,0.28545099421297654
58czem0j,qc4ublel,0.28493814966037084
j3p1u80n,dih1nj0r,0.536196826114684
j3p1u80n,zq387qo8,0.35414544487239863
j3p1u80n,mvq875wf,0.332590577237916
j3p1u80n,u6ts87ur,0.29550668742149727
j3p1u80n,qxkwjkif,0.2768385186682958
p5jtwb3l,5xgurlue,0.2798117913077406
p5jtwb3l,sa7rbifx,0.23919542202314575
p5jtwb3l,1diiidze,0.2286163366100475
p5jtwb3l,nigjisgy,0.22343398605927844
p5jtwb3l,vjyo2thc,0.2172980450256062
c5hrdrtu,ymo9h7wb,0.3121677192558237
c5hrdrtu,tbxar0tu,0.24451119618629308
c5hrdrtu,b2g1ckkl,0.2120020068042522
c5hrdrtu,5i23o9tf,0.1858215151428485
c5hrdrtu,g2pb02vx,0.17979345631641588
xgwbl8em,50lhd5yc,0.509510864338501
xgwbl8em,wqi4z0ne,0.46220244449658554
xgwbl8em,987dhnf7,0.45932941789585063
xgwbl8em,ayydekzc,0.417066623583791
xgwbl8em,0triejz0,0.40047087100172507
cxzlmfst,93k9mxn5,0.37561114099849524
cxzlmfst,vvbwc4b5,0.30572617647330713
cxzlmfst,xo1cyzrg,0.24695369304054582
